time,Temperature_Air_2m_Mean_24h,Cloud_Cover_Mean,Wind_Speed_10m_Mean,Dew_Point_Temperature_2m_Mean,Vapour_Pressure_Mean
2018-12-03,279.69714,0.6898564,2.1782773,277.9891,8.624225
2018-12-04,281.15247,0.4416069,1.6085521,278.68118,9.02691
2018-12-05,276.93604,0.5621946,1.4424992,271.37674,5.4842534
2018-12-06,275.30627,0.8436177,0.9904873,272.32452,5.847176
2018-12-07,277.6226,0.64437705,2.1668415,274.8811,7.015275
2018-12-08,277.92703,0.66434085,1.9117727,276.40244,7.8042855
2018-12-09,276.5393,0.6941224,2.098105,274.52682,6.8948317
2018-12-10,276.2928,0.5589703,1.4989517,273.983,6.5818043
2018-12-11,275.29163,0.56102693,1.7343546,270.29437,5.1242757
2018-12-12,274.2957,0.39643675,1.6060541,269.82114,4.9229584
2018-12-13,272.72418,0.888582,2.7152276,270.7032,5.234828
2018-12-14,273.19333,0.9456954,3.9700577,271.342,5.4585843
2018-12-15,272.5984,0.80488837,3.126399,269.96713,4.9765697
2018-12-16,271.99402,0.71552473,1.782483,268.8995,4.6124897
2018-12-17,272.31808,0.9441691,1.2421862,269.33588,4.7567225
2018-12-18,273.24176,0.7888319,0.8603257,271.2514,5.446329
2018-12-19,272.54544,0.8650162,1.3892573,270.2002,5.051413
2018-12-20,272.41495,0.689887,0.9289214,270.78397,5.273819
2018-12-21,275.7564,0.8893146,2.9783154,274.36337,6.7600117
2018-12-22,280.2874,0.7443447,3.273306,277.70657,8.433722
2018-12-23,278.27106,0.8174802,1.8207316,277.23734,8.160457
2018-12-24,278.68216,0.49249703,3.1162846,274.68872,7.0210214
2018-12-25,273.33405,0.46932808,1.6154175,271.61142,5.5909486
2018-12-26,272.27515,0.47177774,1.468229,270.23657,5.0890536
2018-12-27,272.79288,0.45781228,1.4780151,270.99075,5.361161
2018-12-28,272.90894,0.41712925,1.340636,270.78128,5.2743993
2018-12-29,273.18466,0.2749868,1.1640427,270.74707,5.297996
2018-12-30,273.9149,0.6700568,1.2137975,271.85287,5.6893888
2018-12-31,275.2401,0.36830735,1.792507,271.9417,5.7318525
2019-01-01,273.3495,0.5136207,1.6453421,270.8527,5.3180704
2019-01-02,274.6841,0.41316858,2.5288987,268.58514,4.6037097
2019-01-03,272.86145,0.5499996,3.9029272,264.98175,3.5537388
2019-01-04,271.22705,0.5913121,2.5582566,264.86813,3.4967983
2019-01-05,271.6962,0.8864795,1.6761149,268.0089,4.3653326
2019-01-06,273.5243,0.70026183,1.6564726,269.7793,4.9531693
2019-01-07,272.50406,0.8908141,0.9901386,269.75577,4.917124
2019-01-08,271.88538,0.82240623,1.8540764,270.5353,5.2067475
2019-01-09,273.39407,0.7766178,1.5891982,271.94348,5.7349415
2019-01-10,273.9022,0.7937541,3.335985,271.14218,5.430504
2019-01-11,271.9682,0.42885864,2.0509021,266.14886,3.8327951
2019-01-12,272.20035,0.66487116,1.5611378,268.28152,4.4504538
2019-01-13,276.53323,0.779304,2.4145353,271.5329,5.5949554
2019-01-14,277.70862,0.3958872,1.8266767,273.21402,6.274621
2019-01-15,274.58487,0.22286423,2.3080463,268.6877,4.5960374
2019-01-16,278.3085,0.3693413,3.3968704,272.75946,6.0785146
2019-01-17,281.7807,0.5535175,3.87824,276.30914,7.650455
2019-01-18,274.79846,0.91260165,1.6725792,274.15695,6.656411
2019-01-19,273.55087,0.9261893,1.8694754,270.31256,5.126934
2019-01-20,273.74457,0.8898257,0.83946127,271.3691,5.5060215
2019-01-21,273.48373,0.9467674,2.174252,270.41202,5.159457
2019-01-22,272.22675,0.9612976,2.9793332,269.89175,4.9818807
2019-01-23,270.90207,0.9513233,1.9787472,269.24362,4.7645416
2019-01-24,271.589,0.8156064,2.8336298,269.48868,4.8738866
2019-01-25,269.84848,0.7924375,2.8833847,266.0491,3.8314912
2019-01-26,268.89606,0.742158,1.9816242,265.42633,3.6714303
2019-01-27,272.8905,0.75818014,1.952927,270.02896,5.1426153
2019-01-28,274.99908,0.94989616,1.5220193,274.7293,6.8934846
2019-01-29,274.1483,0.95217407,0.9243512,274.05988,6.6065626
2019-01-30,273.486,0.906214,1.4646012,272.34857,5.888486
2019-01-31,272.96405,0.8330937,1.4064521,272.05203,5.7705517
2019-02-01,272.96405,0.91226184,2.192669,276.97433,8.156258
