"Name";"Time";"Q@KFZ";
"8020_107_Süd";"13.01.2018 00:00:00";500;74954
"8041_218";"13.01.2018 00:00:00";564;6667
"8041_221";"13.01.2018 00:00:00";1517;4584
"8041_218_Nord";"13.01.2018 00:00:00";-1;0
"8041_218_Süd";"13.01.2018 00:00:00";-1;0
"8041_221_Ost";"13.01.2018 00:00:00";759;375
"8041_221_West";"13.01.2018 00:00:00";758;833
"8045_203";"13.01.2018 00:00:00";1052;5416
"8045_203_Nord";"13.01.2018 00:00:00";551;75
"8045_203_Süd";"13.01.2018 00:00:00";500;79166
"8051_101";"13.01.2018 00:00:00";1495;4166
"8051_101_Nord";"13.01.2018 00:00:00";684;875
"8051_101_Süd";"13.01.2018 00:00:00";810;5417
"8055_108_Nord_bis20210121";"13.01.2018 00:00:00";451;33334
"8055_108_Süd_bis20210121";"13.01.2018 00:00:00";490;54166
"8010_205";"14.01.2018 00:00:00";634;833
"8010_209";"14.01.2018 00:00:00";512;9583
"8010_214";"14.01.2018 00:00:00";589;1667
"8010_202_Nord";"14.01.2018 00:00:00";0;0
"8010_205_Ost";"14.01.2018 00:00:00";315;83334
"8010_205_West";"14.01.2018 00:00:00";318;25
"8010_209_Ost";"14.01.2018 00:00:00";244;95833
"8010_209_West";"14.01.2018 00:00:00";268;0
"8010_213_Ost";"14.01.2018 00:00:00";564;25
"8010_214_Nord";"14.01.2018 00:00:00";274;66666
"8010_214_Süd";"14.01.2018 00:00:00";314;5
"8020_102";"14.01.2018 00:00:00";1154;539
"8020_103";"14.01.2018 00:00:00";1318;1686
"8020_107";"14.01.2018 00:00:00";820;8324
"8020_102_Nord";"14.01.2018 00:00:00";587;8315
"8020_102_Süd";"14.01.2018 00:00:00";566;7074
"8020_103_Nord";"14.01.2018 00:00:00";658;7926
"8020_103_Süd";"14.01.2018 00:00:00";659;3759
"8020_107_Nord";"14.01.2018 00:00:00";473;12546
"8020_107_Süd";"14.01.2018 00:00:00";347;70694
"8041_218";"14.01.2018 00:00:00";408;95834
"8041_221";"14.01.2018 00:00:00";884;0
"8041_218_Nord";"14.01.2018 00:00:00";-1;0
"8041_218_Süd";"14.01.2018 00:00:00";-1;0
"8041_221_Ost";"14.01.2018 00:00:00";430;375
"8041_221_West";"14.01.2018 00:00:00";453;625
"8045_203";"14.01.2018 00:00:00";703;0
"8045_203_Nord";"14.01.2018 00:00:00";370;66666
"8045_203_Süd";"14.01.2018 00:00:00";332;33334
"8051_101";"14.01.2018 00:00:00";1037;0
